run_name,depth_n,resnet_depth,variant,alpha,seed,n_params,epochs,best_val_acc,test_acc,fit_acc,fit_loss,final_val_acc,final_val_loss,diverged
n3_resnet_a1.00_s0,3,20,resnet,1.0,0,269722,30,0.901,0.9014,0.9609777777777778,0.11624793426725599,0.901,0.2950395004272461,False
n3_plain_a0.00_s0,3,20,plain,0.0,0,269722,30,0.886,0.8853,0.9445777777777777,0.16175680930349562,0.886,0.3350984137058258,False
n5_resnet_a1.00_s0,5,32,resnet,1.0,0,464154,30,0.9118,0.908,0.9766888888888889,0.07354854271279442,0.9118,0.2752807032108307,False
n5_plain_a0.00_s0,5,32,plain,0.0,0,464154,30,0.8736,0.8705,0.9258222222222222,0.2203141628159417,0.8736,0.3830661148548126,False
n9_resnet_a1.00_s0,9,56,resnet,1.0,0,853018,30,0.9122,0.9092,0.9787333333333333,0.0670875843193796,0.9122,0.28128552703857423,False
n9_plain_a0.00_s0,9,56,plain,0.0,0,853018,30,0.8022,0.7953,0.8316222222222223,0.4862798023117913,0.8022,0.5721606904029847,False
n9_scaled_a0.25_s0,9,56,scaled,0.25,0,853018,30,0.8166,0.814,0.8497777777777777,0.43092987316979303,0.8166,0.5303754398345947,False
n9_scaled_a0.50_s0,9,56,scaled,0.5,0,853018,30,0.8568,0.8557,0.9014,0.2818098705927531,0.8568,0.42299578075408933,False
n9_scaled_a0.75_s0,9,56,scaled,0.75,0,853018,30,0.898,0.9013,0.9618888888888889,0.11421618470350901,0.898,0.3116914758205414,False
n3_resnet_a1.00_s1,3,20,resnet,1.0,1,269722,30,0.901,0.9025,0.9612444444444445,0.11404373891088698,0.901,0.2957830033779144,False
n3_plain_a0.00_s1,3,20,plain,0.0,1,269722,30,0.888,0.8855,0.943,0.16674526557922364,0.888,0.34914516658782957,False
n5_resnet_a1.00_s1,5,32,resnet,1.0,1,464154,30,0.9108,0.9049,0.9725333333333334,0.08523697551621331,0.9108,0.2799864515781403,False
n5_plain_a0.00_s1,5,32,plain,0.0,1,464154,30,0.87,0.8706,0.9232444444444444,0.22601830955611335,0.87,0.4006743369102478,False
n9_resnet_a1.00_s1,9,56,resnet,1.0,1,853018,30,0.91,0.9106,0.9821777777777778,0.05710159867339664,0.91,0.28391838397979735,False
n9_plain_a0.00_s1,9,56,plain,0.0,1,853018,30,0.7628,0.7608,0.7800222222222222,0.6227725753890143,0.7628,0.6803163303375244,False
